# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.516016,6.126106,7.000000,3.03132577e+04
0.516016,6.126106,7.000000,3.03132577e+04
0.516016,6.126106,7.000000,3.03132577e+04
0.307395,3.403392,7.000000,2.95721269e+04
0.307395,3.403392,7.000000,2.95721269e+04
0.307395,3.403392,7.000000,2.95721269e+04
0.307395,3.403392,7.000000,2.95721269e+04
0.411138,0.196350,7.000000,2.94411403e+04
0.411138,0.196350,7.000000,2.94411403e+04
0.411138,0.196350,7.000000,2.94411403e+04
0.411138,0.196350,7.000000,2.94411403e+04
0.411138,5.301438,7.000000,2.92181815e+04
0.411138,5.301438,7.000000,2.92181815e+04
0.516016,0.157080,7.000000,2.91355718e+04
0.516016,0.157080,7.000000,2.91355718e+04
2.625576,2.670354,7.000000,2.90236371e+04
2.625576,2.670354,7.000000,2.90236371e+04
2.625576,2.670354,7.000000,2.90236371e+04
2.625576,2.670354,7.000000,2.90236371e+04
2.625576,2.670354,7.000000,2.90236371e+04
0.622368,5.890486,7.000000,2.86766379e+04
0.622368,5.890486,7.000000,2.86766379e+04
0.622368,5.890486,7.000000,2.86766379e+04
0.622368,5.890486,7.000000,2.86766379e+04
0.841069,0.294524,7.000000,2.85734165e+04
0.841069,0.294524,7.000000,2.85734165e+04
2.411019,5.497787,7.000000,2.84900971e+04
2.411019,5.497787,7.000000,2.84900971e+04
2.411019,5.497787,7.000000,2.84900971e+04
2.411019,5.497787,7.000000,2.84900971e+04
2.411019,4.375790,7.000000,2.84890369e+04
2.411019,4.375790,7.000000,2.84890369e+04
2.411019,3.478192,7.000000,2.84257229e+04
2.411019,3.478192,7.000000,2.84257229e+04
2.411019,3.478192,7.000000,2.84257229e+04
2.411019,3.478192,7.000000,2.84257229e+04
0.307395,0.261799,7.000000,2.82553379e+04
0.307395,0.261799,7.000000,2.82553379e+04
0.307395,0.261799,7.000000,2.82553379e+04
2.411019,5.722187,7.000000,2.81562705e+04
2.193623,4.319690,7.000000,2.81469638e+04
2.193623,4.319690,7.000000,2.81469638e+04
2.193623,4.319690,7.000000,2.81469638e+04
2.193623,4.319690,7.000000,2.81469638e+04
0.841069,1.276272,7.000000,2.79510524e+04
0.841069,1.276272,7.000000,2.79510524e+04
0.841069,1.276272,7.000000,2.79510524e+04
0.841069,1.276272,7.000000,2.79510524e+04
2.519224,2.487094,7.000000,2.79245133e+04
2.519224,2.487094,7.000000,2.79245133e+04
2.519224,2.487094,7.000000,2.79245133e+04
0.622368,0.654498,7.000000,2.78307403e+04
2.625576,2.984513,7.000000,2.78115923e+04
0.730574,0.336599,7.000000,2.78114500e+04
0.730574,0.336599,7.000000,2.78114500e+04
0.730574,0.560999,7.000000,2.76311177e+04
0.730574,0.560999,7.000000,2.76311177e+04
0.730574,0.560999,7.000000,2.76311177e+04
0.411138,6.086836,7.000000,2.75885864e+04
0.411138,6.086836,7.000000,2.75885864e+04
0.411138,6.086836,7.000000,2.75885864e+04
0.622368,5.366887,7.000000,2.74853769e+04
0.622368,5.366887,7.000000,2.74853769e+04
0.622368,5.366887,7.000000,2.74853769e+04
0.622368,5.366887,7.000000,2.74853769e+04
0.622368,5.366887,7.000000,2.74853769e+04
0.730574,1.009798,7.000000,2.74316756e+04
0.730574,1.009798,7.000000,2.74316756e+04
2.519224,2.748894,7.000000,2.73490028e+04
2.519224,2.748894,7.000000,2.73490028e+04
2.730455,2.159845,7.000000,2.73243867e+04
0.730574,2.356194,7.000000,2.73037422e+04
0.730574,2.356194,7.000000,2.73037422e+04
0.947970,0.196350,7.000000,2.71763505e+04
0.947970,0.196350,7.000000,2.71763505e+04
0.516016,5.811946,7.000000,2.70935191e+04
0.516016,5.811946,7.000000,2.70935191e+04
0.947970,5.694137,7.000000,2.70098935e+04
0.947970,5.694137,7.000000,2.70098935e+04
0.947970,5.694137,7.000000,2.70098935e+04
0.947970,5.694137,7.000000,2.70098935e+04
0.730574,3.926991,7.000000,2.69413985e+04
0.730574,3.926991,7.000000,2.69413985e+04
