# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.307395,5.497787,1390.000000,1.45907670e+03
0.516016,0.157080,1400.000000,1.45677859e+03
0.411138,0.196350,1380.000000,1.44525621e+03
0.307395,3.403392,1370.000000,1.44050546e+03
2.625576,2.670354,1380.000000,1.42541161e+03
2.625576,2.670354,1380.000000,1.42541161e+03
0.516016,0.157080,1370.000000,1.41656137e+03
0.841069,0.294524,1390.000000,1.41627614e+03
0.516016,6.126106,1330.000000,1.41333038e+03
0.307395,0.261799,1390.000000,1.40046516e+03
0.622368,5.890486,1370.000000,1.39768779e+03
0.841069,0.294524,1370.000000,1.39138314e+03
2.625576,2.984513,1400.000000,1.39057962e+03
0.307395,3.403392,1330.000000,1.38900667e+03
2.625576,2.670354,1350.000000,1.38648077e+03
2.519224,2.487094,1390.000000,1.38479925e+03
0.730574,0.560999,1400.000000,1.38155588e+03
0.622368,5.366887,1400.000000,1.37426885e+03
0.622368,5.890486,1350.000000,1.37334515e+03
2.411019,5.497787,1350.000000,1.36968066e+03
2.411019,5.722187,1360.000000,1.35947706e+03
0.730574,0.560999,1380.000000,1.35785118e+03
0.411138,6.086836,1380.000000,1.35340422e+03
0.730574,2.356194,1390.000000,1.35246682e+03
0.841069,1.276272,1360.000000,1.34991248e+03
2.411019,5.497787,1330.000000,1.34734064e+03
2.411019,2.356194,1400.000000,1.34563995e+03
0.516016,5.811946,1390.000000,1.34448989e+03
0.730574,0.336599,1360.000000,1.34233755e+03
0.730574,2.356194,1380.000000,1.33971675e+03
0.730574,2.356194,1380.000000,1.33971675e+03
2.519224,3.010693,1400.000000,1.33917044e+03
0.307395,0.261799,1340.000000,1.33855476e+03
0.307395,0.261799,1340.000000,1.33855476e+03
0.204480,3.534292,1400.000000,1.33835909e+03
2.625576,2.042035,1390.000000,1.33733971e+03
0.307395,3.403392,1290.000000,1.33677891e+03
0.730574,0.336599,1350.000000,1.33018174e+03
2.300524,4.221515,1310.000000,1.32803242e+03
0.204480,1.178097,1390.000000,1.31922393e+03
0.204480,1.178097,1390.000000,1.31922393e+03
0.841069,1.276272,1330.000000,1.31377406e+03
2.411019,5.497787,1300.000000,1.31340433e+03
0.411138,0.589049,1370.000000,1.31059833e+03
0.307395,3.403392,1270.000000,1.31041661e+03
0.516016,6.126106,1260.000000,1.30989465e+03
0.411138,0.196350,1280.000000,1.30946042e+03
2.411019,2.804993,1390.000000,1.30857577e+03
2.730455,3.337942,1380.000000,1.30785583e+03
2.625576,2.670354,1290.000000,1.30775413e+03
0.841069,0.098175,1400.000000,1.30699897e+03
0.841069,0.098175,1400.000000,1.30699897e+03
2.300524,5.792311,1370.000000,1.30602814e+03
0.204480,3.534292,1370.000000,1.30549626e+03
2.519224,2.487094,1320.000000,1.30331336e+03
2.519224,3.010693,1370.000000,1.30190443e+03
0.730574,0.560999,1330.000000,1.29811931e+03
