# Sample of 1000 probability pixels from cumulative_reduced3Dmap-64nside-2000max-100step.npz using dist method
# dec,ra,d_l,weight
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.921704,0.859029,600.000000,1.19562553e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.910633,0.871301,600.000000,1.13184401e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.932819,0.871301,600.000000,1.06601161e-10
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.899606,0.859029,600.000000,9.93661168e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.921704,0.859029,500.000000,8.79949702e-11
1.910633,0.846757,600.000000,8.67858812e-11
1.910633,0.846757,600.000000,8.67858812e-11
