# Highest 10000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.516016,6.126106,1390.000000,1.50112738e+03
0.307395,5.497787,1400.000000,1.47233429e+03
0.516016,6.126106,1370.000000,1.47196831e+03
0.516016,0.157080,1400.000000,1.45677859e+03
0.516016,0.157080,1390.000000,1.44340691e+03
0.622368,5.890486,1400.000000,1.43383190e+03
0.307395,5.497787,1370.000000,1.43245092e+03
0.516016,0.157080,1380.000000,1.43000085e+03
2.625576,2.670354,1380.000000,1.42541161e+03
0.411138,0.196350,1360.000000,1.41832401e+03
0.841069,0.294524,1390.000000,1.41627614e+03
0.841069,0.294524,1390.000000,1.41627614e+03
0.516016,6.126106,1330.000000,1.41333038e+03
0.307395,0.261799,1400.000000,1.41276689e+03
2.411019,5.722187,1400.000000,1.40781353e+03
2.411019,5.722187,1400.000000,1.40781353e+03
0.841069,0.294524,1380.000000,1.40384667e+03
0.516016,0.157080,1360.000000,1.40308945e+03
2.411019,5.497787,1380.000000,1.40275351e+03
2.411019,4.375790,1380.000000,1.39776095e+03
2.411019,4.375790,1380.000000,1.39776095e+03
2.411019,4.375790,1380.000000,1.39776095e+03
2.300524,4.221515,1370.000000,1.39752840e+03
2.300524,4.221515,1370.000000,1.39752840e+03
0.411138,0.196350,1340.000000,1.39126905e+03
0.516016,0.157080,1350.000000,1.38958610e+03
0.516016,0.157080,1350.000000,1.38958610e+03
0.411138,5.301438,1340.000000,1.38811782e+03
2.300524,4.221515,1360.000000,1.38607591e+03
2.300524,4.221515,1360.000000,1.38607591e+03
2.193623,4.319690,1380.000000,1.38476053e+03
2.411019,5.497787,1360.000000,1.38076375e+03
0.622368,0.654498,1390.000000,1.37846974e+03
0.622368,0.654498,1390.000000,1.37846974e+03
0.307395,3.403392,1320.000000,1.37601504e+03
2.625576,2.670354,1340.000000,1.37343542e+03
2.625576,2.670354,1340.000000,1.37343542e+03
2.411019,5.722187,1370.000000,1.37160203e+03
2.411019,4.375790,1360.000000,1.37094324e+03
0.730574,0.560999,1390.000000,1.36971750e+03
0.516016,6.126106,1300.000000,1.36911041e+03
2.519224,2.748894,1400.000000,1.36745014e+03
0.730574,0.336599,1380.000000,1.36653405e+03
2.625576,2.984513,1380.000000,1.36604393e+03
0.622368,0.654498,1380.000000,1.36538200e+03
0.622368,0.654498,1380.000000,1.36538200e+03
2.300524,4.221515,1340.000000,1.36301236e+03
0.622368,5.366887,1390.000000,1.36188895e+03
2.625576,2.670354,1330.000000,1.36035800e+03
0.947970,0.196350,1400.000000,1.35881752e+03
0.947970,0.196350,1400.000000,1.35881752e+03
0.307395,5.497787,1310.000000,1.35176797e+03
2.193623,4.319690,1350.000000,1.35053799e+03
0.730574,1.009798,1380.000000,1.34808089e+03
2.411019,5.497787,1330.000000,1.34734064e+03
0.730574,3.926991,1400.000000,1.34706992e+03
0.730574,3.926991,1400.000000,1.34706992e+03
0.730574,3.926991,1400.000000,1.34706992e+03
0.730574,0.560999,1370.000000,1.34595746e+03
2.730455,2.159845,1380.000000,1.34544185e+03
0.411138,6.086836,1370.000000,1.34035041e+03
2.300524,4.221515,1320.000000,1.33974260e+03
0.730574,2.356194,1380.000000,1.33971675e+03
0.516016,6.126106,1280.000000,1.33953460e+03
2.519224,3.010693,1400.000000,1.33917044e+03
2.300524,5.792311,1400.000000,1.33753632e+03
2.300524,5.792311,1400.000000,1.33753632e+03
2.411019,5.497787,1320.000000,1.33608479e+03
2.519224,2.748894,1370.000000,1.33157363e+03
2.193623,4.319690,1330.000000,1.32750619e+03
2.300524,5.792311,1390.000000,1.32707850e+03
2.519224,3.010693,1390.000000,1.32678700e+03
0.307395,5.497787,1290.000000,1.32463577e+03
0.730574,3.029393,1390.000000,1.32402793e+03
0.516016,5.811946,1370.000000,1.32396212e+03
0.307395,3.403392,1280.000000,1.32361738e+03
0.307395,3.403392,1280.000000,1.32361738e+03
2.730455,2.552544,1400.000000,1.32165532e+03
2.625576,2.670354,1300.000000,1.32094655e+03
2.519224,2.748894,1360.000000,1.31953244e+03
0.204480,1.178097,1390.000000,1.31922393e+03
2.300524,2.650719,1390.000000,1.31838259e+03
2.625576,2.042035,1370.000000,1.31774307e+03
2.411019,4.375790,1320.000000,1.31697133e+03
2.411019,4.375790,1320.000000,1.31697133e+03
2.625576,6.126106,1390.000000,1.31681626e+03
0.841069,0.294524,1310.000000,1.31592924e+03
0.516016,1.099557,1400.000000,1.31576477e+03
